,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,Steamed sweet barley rice (40),Potato soup,Seasoned salad with chicken and apple,Seasoned salad with bellflower root,White kimchi,S almond,S homestyle blueberry milk,Beef and aubergine over rice,Shredded radish onion soup,Deep-fried onion ring,Egg salad,Pickled beet,S sweet pumpkin cream risotto,S mango juice,Steamed red bean rice,Tofu shabu-shabu,Stir-fried jukkumi and vegetables in soy sauce,Stir-fried perilla leaf,Napa cabbage kimchi
1,Rice (extra),Red bean porridge,Grilled mackerel,Cabbage salad,Water kimchi,S cheese,S milk (200ml),Steamed sweet rice,Little neck clam soy paste soup,Braised spicy chicken without bones,Seasoned salad with sedum and chive,Sweet napa cabbage watery kimchi,S pan-fried shrimp and vegetables,S orange juice,Steamed sorghum rice,Pork back-bone stew,Braised semi dried pollack in sweet soy sauce,Salted seaweed,Radish kimchi cubes
2,Steamed brown rice (40),Dried pollack soup,Stir-fried soft crab and paprika,Wild parsnip,Sweet napa cabbage watery kimchi,Dried persimmon,S sweet pumpkin rice punch,Stir-fried rice with seafood,Tofu konjac soup,Quail eggs boiled down in soy sauce,Seasoned salad with lettuce in yuzu marinade,Napa cabbage kimchi,empty,S milk (200ml),Steamed pearl barley rice,Short-necked clam soup,Grilled beef and sweet rice,Seasoned salad with broccoli in sesame sauce,Water kimchi
3,Beef rice ball with seaweed flakes,Dried bonito soy paste soup,Scrambled eggs with spinach,Braised beans,Napa cabbage kimchi,S tomato (100g),S cheese,Steamed brown sweet rice,Radish soup,Stir-fried jukkumi and,Seasoned salad with romein in yuzu marinade,Water kimchi,S steamed sweet pumpkin with nuts,S milk (100ml),Steamed pearl barley rice,Mandu (dumpling) chicken stew,Steamed fish and zucchini,Seasoned perilla leaf,Radish kimchi cubes
4,Steamed rice (30),Oyster mushroom soup,Scrambled eggs with shrimp,Seasoned salad with sweet potato stem in soy paste,Water kimchi,empty,S homestyle blueberry milk,Stir-fried rice beef in oyster sauce,Winter mushroom miso soup,Sweet potato salad,Braised burdock slices and konjac,Napa cabbage kimchi,empty,S sweet red bean porridge,Steamed chestnut bean rice,Mandu (dumpling) soup,Braised chicken(breast) in teriyaki sauce,Seasoned salad with bellflower root,White kimchi
5,Steamed pearl barley rice (40),Maesaengyi soup,Grilled tofu in teriyaki sauce(soy sauce),Stir-fried oyster mushroom and paprika,Napa cabbage kimchi,S sesame milk soup,S apple (35g),Steamed rice,Shiitake mushroom stew,Braised chicken in curry(meat only),Cabbage salad in yuzu marinade,Napa cabbage kimchi,S steamed sweet potato,S milk (100ml),Steamed rice,Zucchini soy paste soup,Seasoned salad with cold smoked duck,Seasoned salad with bean sprout,Water kimchi
6,Steamed chestnut bean rice,Tofu soup,Stir-fried potato and fried fish paste,Seasoned salad with dried cuttlefish and dried radish,Water kimchi,S apple (50g),S milk (200ml),Paprika rice ball with fried tofu,Spring onion soy paste soup,Steamed beef and sweet pumpkin in soy sauce,empty,Radish kimchi cubes,S cheese stick,S orange juice,Steamed pearl barley rice,Chicken stew,Stir-fried jukkumi and,Seasoned winter mushroom,Radish kimchi cubes
7,Steamed black rice (40),Potato soup,Ketchup-braised pork,Stir-fried zucchini,Sweet napa cabbage watery kimchi,S apple (35g),S milk with misugaru (mixed grain powder),Rice with beans,Wild chive soy paste soup,Stir-fried jukkumi and,Seasoned salad with brown kelp slices,Napa cabbage kimchi,S yakgwa (honey cookie),S orange juice,Stir-fried rice with cheese and vegetables,Unpressed soup (mild flavor),Roasted potato with butter,Seasoned salad with chwinamul in soy paste,Radish kimchi cubes
8,Steamed chestnut red bean sweet rice (40),Spinach soup(clear),Braised mini-potato,Chicken breast (mustard sauce),Water kimchi,S banana shake,empty,Steamed black rice,Assorted mushroom soup,Braised beef and tomato,Seasoned salad with bokchoy in vinegar marinade,Napa cabbage kimchi,S steamed chestnut,S sweet pumpkin rice punch,Curried rice,Bean sprout soup,Stir-fried shrimp in cream sauce,Seasoned salad with winter cabbage,Radish kimchi cubes
9,Steamed sweet potato rice (40),Mini-ball rice cake seaweed soup,Stir-fried dried shrimp and zucchini,Seasoned salad with sweet potato stem in soy paste,Water kimchi,S apple (50g),S yoghurt (100ml),Beef and aubergine over rice,Egg spring onion soup,Vegetable croquette,Sprout salad,Pickled beet,S banana (50g),S walnut milk,Steamed rice with black beans,Mandu (dumpling) soup,Steamed chicken tenderloin and zucchini,Seasoned oyster mushroom,Sweet napa cabbage watery kimchi
10,Steamed red bean rice (30),Brown kelp and potato soup,Braised chicken(breast) in teriyaki sauce,Seasoned salad with cabbage in mayonnaise,Sweet napa cabbage watery kimchi,S blueberry (50g),S yoghurt (100ml),Steamed sweet rice,Mushroom soup,Stir-fried spicy pork,Lettuce-wraps,Water kimchi,S steamed sweet potato,S milk (100ml),Japanese style beef over rice (kyudon),Mini udon with fried tofu,Pan-fried mung bean,Seasoned salad with apple and winter celery,Radish kimchi cubes
11,Steamed sweet rice and brown rice,Short rib beef soup(plate),Braised anchovy and sweet napa cabbage,Seasoned salad with aubergine in marinade sauce,White kimchi,S homestyle blueberry milk,empty,Curried rice with chicken and potato + marinade sauce,Young pumpkin soup(clear),Deep-fried vegetables(potato) with corn,Paprika stick,Pickled beet,S orange juice (sugar-free),S honey-filled fried pancake,Steamed corn rice,Tofu shabu-shabu,Grilled spanish mackerel,Fresh kimchi with lettuce and wild chive,Water kimchi
12,Rice with beans (40),Mugwort meat dumpling soup,Stir-fried chicken in soy sauce without bones,Stir-fried zucchini,Sweet napa cabbage watery kimchi,S banana (100g),empty,Veggie rice ball,Egg spring onion soup,Stir-fried baby anchovy,Pan-fried mung bean,Napa cabbage kimchi,empty,S milk (200ml),Steamed mung bean rice,Sweet rice dough soup,Braised chicken in curry(meat only),Dried radish,Water kimchi
13,Rice (extra),Oyster mushroom soup,Stir-fried tuna and vegetables,Seasoned herbs with aubergine,Napa cabbage kimchi,S black soy porridge,S apple (50g),Steamed red bean rice,Mandu (dumpling) soup,Braised chicken(meat only) and sweet potato,Seasoned salad with paprika in yuzu marinade,Water kimchi,S tomato (200g),S milk (200ml),Stir-fried rice beef in oyster sauce,Broccoli soup,Deep-fried shrimp,Lettuce salad (balsamic vinegar dressing),Pickled beet
14,Steamed rice,River snail soy paste soup,Rolled omelette with vegetables,Tomato mash,Cucumber kimchi,empty,S black soybean milk (150ml),Steamed chestnut bean rice,Chicken stew,Barbequed pork belly and cuttlefish (mild flavor),Seasoned bellflower root,Young radish water kimchi,S melon (50g),S yoghurt (100ml),Curried rice with chicken and potato + marinade sauce,Radish soup,Pan-fried pumpkin,Apple salad (balsamic vinegar dressing),Pickled korean style daikon
15,Steamed sweet rice (add),Red bean porridge,Braised eggs in soy sauce,Seasoned salad with paprika in yuzu marinade,Water kimchi,S banana (50g),empty,Steamed rice,Noodles in fish soup,Roasted smoked duck with vagetable,Seasoned winter mushroom and chive,Napa cabbage kimchi,S soy milk,S grape tomato(35g),Shrimp cream spaghetti,empty,Mini pork cutlet,Cabbage salad (strawberry dressing),Pickled beet
16,Steamed sweet rice and brown rice (40),Mussel daikon soup,Seasoned oyster mushroom,Seasoned salad with broccoli shrimp and sesame,Water kimchi,S korean melon salad,S sweet pumpkin rice punch,Japanese style beef over rice (kyudon),Mini udon with fried tofu,Roasted potato with butter,Seasoned salad with shepherd's purse,Pickled beet,S egg toast,S peach walnut smoothie,Steamed chestnut bean rice (40),Zucchini salted shrimp stew,Barbequed pork belly and cuttlefish (mild flavor),Seasoned salad with sweet potato stem in soy paste,Napa cabbage kimchi
17,Rice (extra),Konjac fried fish paste soup,Stir-fried tuna and zucchini,Seasoned salad with curled mallow,Young radish kimchi,S homestyle blueberry milk,empty,Shrimp mushroom rice bowl,Veggie soup,Deep-fried glass noodles in seaweed,Cucumber and tomato salad (balsamic vinegar dressing),White kimchi,S fried mandu (dumpling),S rice punch,Steamed sweet rice,Mushroom beef soup,Stir-fried jukkumi and vegetables in soy sauce,Cabbage wraps,Water kimchi
18,Steamed chestnut bean rice,Oyster mushroom soup,Braised tofu and fried fish paste,Seasoned salad with sweet potato stem in soy paste,Napa cabbage kimchi,S cheese stick,S apple (75g),Curried rice with sweet pumpkin,Fried tofu spring onion  soup,Sweet potato mattang,empty,Water kimchi,S raisin potato bowl,S milk (200ml),Steamed pearl barley rice,Mushroom stew in soy sauce,Grilled smoked duck,Lettuce salad (kiwi dressing),Pickled beet
19,Steamed corn rice,Napa cabbage soup(clear),Steamed eggs with cheese,Stir-fried dried shrimp and zucchini,Water kimchi,S potato salad,S orange juice (sugar-free),Steamed sweet rice,Fried fish cake soup,Braised spicy chicken,Seasoned salad with paprika in yuzu marinade,Napa cabbage kimchi,S yellow peach-80g,S milk (150ml),Stir-fried rice with seafood,Oyster mushroom soup(clear),(processed) deep-fried mandu (dumpling),Seasoned salad with bean sprout,Sweet napa cabbage watery kimchi
20,Steamed sweet rice,Freshwater snail tofu soy paste soup,Fried eggs,Seasoned spinach,Water kimchi,S blueberry (50g),S yoghurt (100ml),Stir-fried rice with broccoli and vegetables,Beef green bean sprout soup,(processed) deep-fried mandu (dumpling),Seasoned salad with korean melon and overripe cucumber,Napa cabbage kimchi,S steamed sweet potato,S homestyle strawberry milk,Steamed red bean rice,Kimchi soup(clear),Braised meat ball and paprika,Fresh kimchi with lettuce and wild chive,Sweet napa cabbage watery kimchi
21,Steamed mung bean rice (40),Tofu clam soup,Rolled omelet with tuna,Seasoned salad with bean sprout,White kimchi,S peach (yellow) - 60g,S yoghurt (100ml),Curried rice with saesongyi mushroom,Seaweed miso soup,Steamed mandu (dumpling),Seasoned salad with lettuce in yuzu marinade,Pickled beet,S pancake,S black sesame soy milk (100ml),Steamed pearl barley rice,Assorted mushroom stew,Roasted smoked duck with vagetable,Stir-fried zucchini and carrot,Sweet napa cabbage watery kimchi
22,Steamed chestnut red bean sweet rice (40),Zucchini salted shrimp soup,Steamed eggs (30g),Daikon and pear salad,Napa cabbage kimchi,empty,S sweet potato shake,Japanese style beef over rice (kyudon),Oyster mushroom soup,Fried mandu (dumpling),Steamed sweet pumpkin,Sweet napa cabbage watery kimchi,S fried pancake,S milk (100ml),Steamed sweet rice,Seaweed soup,Braised pork rib with soy sauce,Seasoned spinach,Water kimchi
23,Steamed rice,Maesaengyi soup,Steamed eggs with corn,Stir-fried soft crab and vegetables,Water kimchi,S cucumber carrot stick,S homestyle blueberry milk,Stir-fried rice with cherry tomato and shrimp,Fried tofu crown daisy soup,Dumpling in sweet and sour sauce,Lettuce salad,Pickled beet,S strawberry jam bread,S orange juice (sugar-free),Steamed mung bean rice,Potato soup,Stir-fried chicken in soy sauce without bones,Pan-fried mushroom,Sweet napa cabbage watery kimchi
24,Steamed sweet rice,Shepherd's purse bean sprout soy paste soup,Steamed eggs (30g),Fresh kimchi with chicory,Water kimchi,S steamed sweet pumpkin,S homestyle blueberry milk,Steamed pearl barley rice,Clam soy paste stew,Roasted chicken drumstick,Seasoned salad with paprika in yuzu marinade,Sweet napa cabbage watery kimchi,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),S orange juice (sugar-free),Steamed sweet rice and red bean,Pork back-bone stew,Braised korean kebab in soy sauce,Seasoned salad with spring parsley in soy sauce,Napa cabbage kimchi
