,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,Steamed sweet rice (30),Chive shellfish soup,Braised anchovy and sweet napa cabbage,Seasoned winter mushroom and chive,Water kimchi,S homestyle strawberry milk,empty,Petite gimbap (rice roll),Sujebi with sweet pumpkin,Seasoned mandu (dumpling),empty,Young radish water kimchi,S moca bread,S green plum tea,Steamed sweet rice and red bean,Carrot soup,Mini pork cutlet,Macaroni and vegetable salad (mayonnaise),Radish kimchi cubes
1,Steamed chestnut bean rice (30),Curled mallow soup(clear),Soft tofu + marinade sauce,Seasoned salad with soft crab and bean sprout,Sweet radish kimchi,S kiwi (50g),empty,Steamed chestnut bean rice,Zucchini salted shrimp stew,Stir-fried chicken with cheese,Fresh kimchi with apple and lettuce,Water kimchi,S steamed bread,S banana shake,Baby anchovy rice ball,Mini udon with fried tofu,Deep-fried vegetables(potato) with corn,Lettuce salad (balsamic vinegar dressing),Pickled beet
2,Steamed chestnut rice,Sliced potato soup,Braised konjac and quail eggs,Stir-fried cucumber,Young radish kimchi,empty,S homestyle blueberry milk,Steamed chestnut bean rice,Bean sprout soup,Stir-fried jukkumi and vegetables in soy sauce,Braised nuts,White kimchi,S banana (50g),S rice-based beverage,Steamed pearl barley rice,Bean sprout soup,Stir-fried chicken tenderloin and apple,Fresh kimchi winter cabbage,Water kimchi
3,Steamed mixed-grain rice (30),Perilla leaf soup,Braised spanish mackerel and sweet pumpkin,Seasoned salad with oyster mushroom,Water kimchi,S sweet potato mattang (sugar-glazed deep-fried sweet potato wedge),empty,Steamed mixed-grain rice,Potato egg soup,Lettuce salad (kiwi dressing),empty,Pickled beet,S cheese stick,S green plum juice,Steamed brown rice,Young pumpkin soup(clear),Stir-fried jukkumi and vegetables in soy sauce,Fresh kimchi with spring parsley,White kimchi
4,Steamed rice,Oyster mushroom soup(clear),Stir-fried broccoli and shrimp,Steamed aubergine in sauce,Napa cabbage kimchi,S plum (50g),S yoghurt (100ml),Steamed sweet rice,Oyster mushroom soup,Pan-fried soft crab skewers,Seasoned salad with lettuce and acorn jelly and vegetables,Radish kimchi cubes,S potato salad,S milk (100ml),Steamed corn rice (30),Clam curled mallow  soup,Braised pork roll with rice cake in soy sauce,Seasoned spinach,White kimchi
5,Steamed chestnut bean rice (30),Chicken spinach soup,Soy sauce-braised pork and egg,Seasoned salad with paprika in yuzu marinade,Young radish water kimchi,S homestyle strawberry milk,empty,Japanese style beef over rice (kyudon),Udon (white wheat noodles) soup without noodles,Deep-fried shrimp spring rolls,Seasoned salad with sweet potato stem in soy paste,Pickled beet,S rainbow rice cake,S green plum juice,Steamed sweet rice (add),Skewered fish cake soup,Stir-fried zucchini and dried shrimp,Seasoned salad with carrot and tuna in mayonnaise,Radish kimchi cubes
6,Steamed sorghum rice,Mandu (dumpling) soup,Stir-fried tomato and eggs,Seasoned salad with bean sprout,Napa cabbage kimchi,empty,S milk (150ml),Stir-fried udon (white wheat noodles) with seafood,Udon (white wheat noodles) soup without noodles,Chicken cutlet,Pineapple corn salad,Radish kimchi cubes,S milk (100ml),empty,Steamed sweet rice,Tofu soup,Stir-fried jukkumi and vegetables in soy sauce,Seasoned spinach,Napa cabbage kimchi
7,Steamed chestnut rice,Young pumpkin soup(clear),Braised chicken(breast) in teriyaki sauce,Seasoned salad with sweet potato stem in soy paste,Radish watery kimchi,S homestyle banana milk,empty,Rice with beans,Oyster mushroom soup,Roasted potato with butter,Seasoned salad with aubergine in marinade sauce,Radish kimchi cubes,S homestyle blueberry milk,S orange juice,Steamed sweet rice,Mandu (dumpling) soup,Pan-fried saesongyi mushroom,Braised black beans and walnut,Radish kimchi cubes
8,Steamed sweet rice (add),Unpressed soup(clear),Stir-fried zucchini and mushroom,Braised baby anchovy and almond,Napa cabbage kimchi,empty,S milk (150ml),Steamed sweet barley rice,Bean powder mugwort  soup,Pan-fried corn with cheese,empty,Radish kimchi cubes,S milk (100ml),S orange juice,Steamed red bean rice (30),Beef brisket unpressed tofu soup,Pan-fried dried shrimp and curled mallow,empty,Napa cabbage kimchi
9,Steamed chestnut bean rice (30),Oyster mushroom soup,Soft tofu + marinade sauce,Braised burdock slices and konjac,Pickled beet,S yoghurt (100ml),empty,Stir-fried rice with cherry tomato and shrimp,Fried tofu miso soup,Fried mandu (dumpling),empty,Seasoned salad with pickled daikon,S croissants,S milk (150ml),Steamed pearl barley rice,Unpressedtofu stew,Stir-fried jukkumi and vegetables in soy sauce,Stir-fried potato(shredded),Perilla leaf kimchi
