,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
0,Steamed chestnut bean rice,Kimchi tofu stew,Stir-fried chicken and broccoli,Stir-fried zucchini and dried shrimp,Ponytail radish kimchi,S homestyle banana milk,S soft tofu salad (oriental dressing),Steamed red bean rice (30),Potato soup,Seasoned winter mushroom,Vegetable croquette,Cucumber kimchi,S beef burdock porridge,S sweet pumpkin rice punch,Stir-fried rice with broccoli and vegetables,Mandu (dumpling) soup,Seasoned winter mushroom and chive,empty,Green onion kimchi
1,Steamed rice,Salted seaweed soup,Stir-fried dried shrimp and zucchini,Stir-fried jukkumi and vegetables in soy sauce,Sweet radish kimchi,S peach walnut smoothie,S fried fish paste soup,Bibimbap with spring herbs,Seaweed fulvescens sujebi soup,Seasoned salad with spicy bean sprout,Rolled omelette with perilla leaves,Radish kimchi cubes,S rice-based beverage,S raisin potato bowl,Steamed corn rice (30),Mandu (dumpling) chicken stew,Seasoned salad with sweet potato stem in soy paste,Dried radish,Water kimchi
2,Steamed red bean rice (30),Oyster mushroom soup,Braised meat ball and paprika,Seasoned winter mushroom,Ponytail radish kimchi,S sweet potato shake,S sweet pumpkin rice punch,Japanese style beef over rice (kyudon),Mandu (dumpling) soup,Boiled sweet pumpkin,Sedum and black sesame salad,Pickled beet,S soft tofu salad (oriental dressing),S cheese stick,Steamed sweet rice (add),Assorted mushroom stew,Seasoned salad with korean melon and overripe cucumber,Braised burdock slices and konjac,Young radish water kimchi
3,Steamed corn rice,Potato onion soup,Stir-fried spring parsley,Stir-fried pork and lotus root with glass noodles,Cucumber kimchi,S macaroni and vegetable salad,S rice-based beverage,Steamed sweet potato rice (30),Potato pepper paste stew,Seasoned salad with winter celery in vinegar marinade,Braised spicy chicken without bones,Pickled korean style daikon,S homestyle banana milk,S sesame sweet potato porridge,Curried rice with beef,Clam and chive soup(clear),Stir-fried dried shrimp and cabbage,Seasoned winter cabbage,White kimchi
4,Steamed red bean rice (30),Octopus soup,Seasoned salad with paprika in soy red chilli paste,Braised burdock slices and konjac,Radish kimchi cubes,S red bean porridge,S tomato juice,Japanese style beef over rice (kyudon),Mandu (dumpling) chicken stew,Seasoned oyster mushroom,Vegetable croquette,Pickled beet,S soft tofu salad (oriental dressing),S homestyle blueberry banana milk,Steamed sweet rice (add),Mandu (dumpling) soup,Stir-fried zucchini and dried shrimp,Seasoned salad with sweet potato stem in soy paste,Young radish water kimchi
5,Steamed sorghum rice (30),Kimchi soup,Stir-fried dried shrimp and zucchini,Braised meat ball and paprika,Water kimchi,S pan-fried vegetables,S sweet pumpkin rice punch,Steamed chestnut bean rice,Oyster mushroom soup,Seasoned salad with shepherd's purse,Braised beef in soy sauce,Ponytail radish kimchi,S peach (yellow) - 60g,S milk (100ml),Curried rice with chicken and potato + marinade sauce,Young pumpkin soup(clear),Stir-fried beef and bokchoy,empty,Perilla leaf kimchi
6,Pork and cabbage over rice,Zucchini soup(clear),Steamed aubergine in sauce,Stir-fried tofu and vegetables in oyster sauce,Radish kimchi cubes,S rice-based beverage,S soft tofu salad (oriental dressing),Steamed sweet rice,Mandu (dumpling) chicken stew,Seasoned salad with spicy green bean sprout and cucumber,Steamed aubergine with marinade sauce,Young radish kimchi,S homestyle banana milk,S tofu vagetable porridge,Steamed chestnut red bean sweet rice (30),Konjac fried fish paste soup,Seasoned salad with spicy bean sprout,Stir-fried jukkumi and vegetables in soy sauce,Pickled beet
7,Steamed sorghum rice (30),Red bean porridge,Vegetable croquette,Roasted potato with butter,Ponytail radish kimchi,S rice with hot acorn jelly soup,S korean melon salad,Rice (extra),Carrot soup,Stir-fried winter mushroom,Seasoned oyster mushroom,Young radish water kimchi,S tomato juice,S milk (100ml),Steamed chestnut bean rice,Seafood soup,Lotus root and black sesame salad,Stir-fried zucchini and dried shrimp,Radish watery kimchi
8,Steamed pearl barley rice,Mandu (dumpling) unpressed tofu stew,Pan-fried winter mushroom with eggs,Seasoned salad with cucumber and carrot,Water kimchi,S raisin potato bowl,S milk (200ml),Stir-fried rice with shrimp and sea lettuce,Potato dough soup,Stir-fried zucchini and carrot,Barbequed beef,Pickled beet,S red bean porridge,S rice-based beverage,Steamed mung bean rice (40),Mushroom chive soup,Stir-fried dried shrimp,empty,Radish kimchi cubes
9,Steamed sweet rice,Tofu shabu-shabu,Seasoned young pumpkin,Seasoned salad with spicy bean sprout,Seasoned salad with pickled daikon,S sweet potato shake,S soft tofu salad (oriental dressing),Pork and cabbage over rice,Mandu (dumpling) chicken stew,Steamed aubergine with marinade sauce,Parboiled broccoli (black sesame sauce),Young radish kimchi,S rice punch,S beef potato porridge,Steamed mixed-grain rice (30),Mung bean jelly soup,Stir-fried sweet potato stem,empty,Cucumber kimchi
